id_trecho_,ano,n_focos,n_sinistros,fluxo,dist_m,taxa_sinistros,taxa_focos
162033,2020,1,0,NA,38046.71896626579,NA,NA
162034,2020,1,0,NA,5836.711478202239,NA,NA
162035,2020,4,0,370863.17238999996,36229.88623242395,0,0.29770032726229406
162122,2020,0,0,NA,753.2976926417275,NA,NA
162121,2020,0,0,370863.17238999996,8541.459636151627,0,0
162120,2020,0,0,NA,3648.503422339135,NA,NA
162119,2020,0,0,NA,9806.469500775087,NA,NA
164671,2020,0,0,NA,3016.831003402449,NA,NA
164672,2020,0,0,NA,3930.2530535622327,NA,NA
158574,2020,0,0,722685.4,788.080357019176,0,0
158575,2020,0,0,722685.4,3582.3017679899704,0,0
158576,2020,0,0,722685.4,3227.808404225647,0,0
158577,2020,0,0,722685.4,14541.034840439863,0,0
158578,2020,0,0,722685.4,6468.066807206518,0,0
158579,2020,0,0,NA,987.1910732380221,NA,NA
159930,2020,0,1,NA,900.0616762687774,NA,NA
164842,2020,0,0,NA,344.8545919247487,NA,NA
164843,2020,0,0,NA,789.0774985013225,NA,NA
164844,2020,0,0,NA,1276.7753805208313,NA,NA
164845,2020,1,0,NA,14160.26485241885,NA,NA
164841,2020,3,0,NA,14718.014321971963,NA,NA
158580,2020,0,0,NA,822.5222067496254,NA,NA
158581,2020,0,0,NA,2156.4839313217803,NA,NA
151354,2020,0,38,14416293.30927,2766.2060034951937,0.9528959197792012,0
151355,2020,0,0,13953874.523474999,1854.43037981453,0,0
151356,2020,0,21,13953874.523474999,1078.8561616032648,1.3949573678771299,0
151357,2020,1,45,13953874.523474999,2506.0306850772513,1.2868600422313905,0.02859688982736424
151358,2020,1,2,14160815.260005001,224.46655061877496,0.6292020164683776,0.3146010082341888
151359,2020,1,376,14160815.260005001,23965.3573846489,1.1079385612445125,0.002946645109692853
151360,2020,4,75,1777302.8344100001,71800.62045055718,0.5877215736544003,0.03134515059490135
151361,2020,3,47,1234189.352945,61446.986910460226,0.6197484803593281,0.03955841363995711
151362,2020,1,48,1234189.352945,44179.029989509254,0.8803254668869716,0.018340113893478574
151363,2020,1,6,1322263.461665,6529.929855686751,0.6949038808361419,0.11581731347269031
151364,2020,1,8,1322263.461665,17997.391379614823,0.33617268951871293,0.042021586189839116
151365,2020,0,6,1322263.461665,19322.369799871754,0.2348404282343581,0
151366,2020,3,13,1322263.461665,31177.42711005134,0.31534437062287735,0.07277177783604862
151367,2020,0,29,1087047.81289,26398.518685000014,1.0105778930417688,0
151368,2020,1,29,1072749.4762650002,79753.4472179326,0.3389613829406837,0.011688323549678747
151369,2020,6,52,1012551.444655,61186.51874387249,0.8393256619406264,0.0968452686854569
151370,2020,1,14,1106212.712765,25370.69034894755,0.49883521628471905,0.035631086877479935
151371,2020,1,8,1120379.2566499999,28994.779932851026,0.24626637103354374,0.030783296379192967
151372,2020,0,13,1120379.2566499999,21090.54385226565,0.5501619035938285,0
151373,2020,0,7,1247602.266365,24361.977850229196,0.23030816814824595,0
151374,2020,0,10,1247602.266365,29247.306931978273,0.2740551465475155,0
151375,2020,0,11,1950096.58797,9944.026915793582,0.5672496956916968,0
151376,2020,0,27,4743828.786904999,13953.214214375912,0.40790637826347403,0
151377,2020,0,6,4743828.786904999,8570.979524310616,0.14756786249010806,0
151378,2020,0,0,4743828.786904999,2171.9381035475817,0,0
151379,2020,1,101,4743828.786904999,23651.714669512985,0.9001807810958418,0.008912681000948929
151380,2020,0,1,4743828.786904999,1956.7071285169275,0.10773211018789922,0
151381,2020,3,155,8925936.299999999,35688.915535194574,0.48656914297764853,0.009417467283438358
151382,2020,0,381,19768151.8,24483.900414847507,0.787187707977775,0
151383,2020,0,0,36213723.2,2383.51571995031,0,0
151384,2020,0,0,7948995.55,8214.583666862365,0,0
151385,2020,0,104,18183953.77268,19765.941226747138,0.2893526878588952,0
151386,2020,2,34,7057306.402044999,12607.988391378354,0.3821150502662739,0.022477355898016114
162246,2020,0,50,NA,21784.45624452541,NA,NA
151387,2020,0,51,5688641.145555,14252.061212069519,0.6290482506558192,0
151388,2020,0,19,3466188.194745,3717.8321665418575,1.4743876402981373,0
151389,2020,0,6,3451304.0371349994,1784.432624014825,0.9742443060881144,0
151390,2020,0,31,3427636.7001999994,12281.992716301498,0.7363733694780445,0
151391,2020,0,97,3426651.6236,38172.58313349424,0.7415667199443868,0
151392,2020,0,41,3740592.148455,30395.95694864257,0.36060162382238575,0
151393,2020,0,2,3618193.6335500004,2103.589976752732,0.2627707966523721,0
151394,2020,0,5,2144299.95819,2298.1440185190168,1.0146288944762143,0
162247,2020,0,38,NA,14615.797828627943,NA,NA
151395,2020,0,49,4255745.137800001,17641.19771823722,0.6526681216756492,0
151396,2020,0,20,4057741.5281049996,7540.018002851186,0.6536920950394878,0
151397,2020,1,57,4057741.5281049996,32059.565022929302,0.43816012350676453,0.0076870197106449914
151398,2020,0,16,3633575.1394299995,7511.864114955623,0.5861896066354153,0
151399,2020,0,9,4207843.690835,3562.399430301399,0.6003994670985366,0
151400,2020,0,11,2061520.3215649999,7969.194742200481,0.6695617336156858,0
151401,2020,0,21,2061520.3215649999,10366.125272570238,0.9826870244353202,0
151402,2020,0,8,2217461.23709,2333.7991321255636,1.5458611265891635,0
151403,2020,1,11,2217461.23709,4911.029873932288,1.0100993053023515,0.09182720957294105
151404,2020,0,25,3505358.45335,19254.876455142556,0.3703964685042031,0
151405,2020,0,15,3581514.5714849997,7463.047425625267,0.5611879474354058,0
151406,2020,1,23,4061355,14430.739756464043,0.3924355015622704,0.01706241311140306
151407,2020,0,1,5111037.919109999,646.4751410709863,0.3026488774220036,0
151408,2020,0,34,4400467.863735,15825.694806424015,0.4882219231207768,0
151409,2020,0,0,3698594.657885,13754.702289258177,0,0
151410,2020,0,18,3698594.657885,6372.426606909707,0.7637143039555034,0
151411,2020,0,16,3994521.2808000003,4519.898098231366,0.8861894995266956,0
151412,2020,0,5,3994521.2808000003,1507.8259458167563,0.8301451845071947,0
151413,2020,0,4,NA,1387.0624255822827,NA,NA
151414,2020,0,54,NA,17660.5836833686,NA,NA
151415,2020,0,40,NA,6401.018472045566,NA,NA
151416,2020,1,88,NA,12984.381048777506,NA,NA
151417,2020,0,57,18704513.491694998,6818.734398579203,0.4469147257625112,0
151418,2020,0,26,5276516.77556,2776.9946860309046,1.7743977415957248,0
151419,2020,0,99,3262781.65795,5604.572678883036,5.413830781226599,0
151420,2020,0,171,23705122.413535,7128.765882423713,1.0119045666584443,0
151421,2020,0,25,23705122.413535,962.8646628410057,1.0952986639874176,0
151422,2020,0,0,35091521.465135,8378.724487237636,0,0
151423,2020,0,1,47696273.03798,2337.7718429541133,0.008968368232532019,0
151424,2020,0,0,47696273.03798,587.3406989416467,0,0
151425,2020,0,0,47696273.03798,1056.707943401549,0,0
151426,2020,0,0,NA,1629.29177311405,NA,NA
151427,2020,0,0,NA,3028.7702657354134,NA,NA
158409,2020,0,0,NA,23373.978493920655,NA,NA
158410,2020,0,0,25777037.3,3044.6605343796446,0,0
158411,2020,0,0,NA,9906.939100976531,NA,NA
158412,2020,0,0,NA,14838.253011420988,NA,NA
158408,2020,0,1,NA,8274.440218712718,NA,NA
158568,2020,0,9,NA,12912.176479086615,NA,NA
158569,2020,0,8,NA,7324.311282385837,NA,NA
158570,2020,0,1,NA,2425.926345578187,NA,NA
158571,2020,0,5,NA,15331.514003767452,NA,NA
158572,2020,0,0,NA,1094.4221041596986,NA,NA
151428,2020,0,0,NA,2766.2060034951937,NA,NA
151429,2020,0,0,NA,1854.43037981453,NA,NA
151430,2020,0,0,NA,1078.8561616032648,NA,NA
151431,2020,1,0,NA,2506.0306850772513,NA,NA
151432,2020,1,0,NA,224.46655061877496,NA,NA
151433,2020,1,0,NA,23965.3573846489,NA,NA
151434,2020,4,0,NA,71800.62045055718,NA,NA
151435,2020,2,6,1213957.06678,10625.401317607244,0.46516023430018505,0.15505341143339504
151436,2020,2,4,1213957.06678,12876.776139891872,0.25588776324843804,0.12794388162421902
151437,2020,0,35,1213957.06678,6125.641261886025,4.7066635809882955,0
151438,2020,0,15,1213957.06678,29221.183708781205,0.4228536920072145,0
151439,2020,7,4,1087087.317205,8799.91937589002,0.4181353345385245,0.731736835442418
151440,2020,0,28,1087087.317205,44285.37985112107,0.5816118256552946,0
151441,2020,0,2,1767262.974685,2446.039343383788,0.4626636489071796,0
151442,2020,0,12,1168717.7181150003,35065.6009404075,0.29281298496286073,0
151443,2020,1,30,1168717.7181150003,20560.796145764667,1.2484515687142133,0.04161505229047377
151444,2020,1,3,1626625.1276349998,5227.171507540053,0.35283123755189716,0.11761041251729905
151445,2020,3,16,1280018.133175,10355.722543873664,1.2070449809527057,0.2263209339286323
151446,2020,0,39,1811815.3991900003,31133.61734865096,0.6913867895099195,0
151447,2020,0,0,1993075.357315,2232.6934800523563,0,0
151448,2020,2,26,1993075.357315,22336.888400443997,0.5840189700877486,0.04492453616059605
151449,2020,1,41,2595180.539185,14250.745206430747,1.1086097801424917,0.02703926293030467
151450,2020,1,130,5376364.0352,29507.20360184382,0.8194578722393974,0.006303522094149211
158693,2020,0,6,3960171.4666,3222.9855678215135,0.47008771233537394,0
151451,2020,1,13,4983244.602735,5234.561841615396,0.4983687615105746,0.038336058577736504
151452,2020,0,4,4307943.924675,3215.095776765401,0.2887992325406407,0
158694,2020,0,0,4061097.03771,3669.2176669496635,0,0
151453,2020,6,80,4011689.124055,52562.94189986583,0.3793875296132741,0.028454064720995556
158695,2020,5,70,4011689.124055,40917.74556280066,0.426441116244805,0.030460079731771793
151454,2020,3,49,5462196.506639999,5812.108753889649,1.5434587523786414,0.09449747463542701
151455,2020,2,0,4152151.11301,19818.293085974383,0,0.024304718651928188
151456,2020,0,2,4948123.894300001,7287.036674345759,0.05546748507321317,0
151457,2020,0,1,4419151.930860001,6835.793716466697,0.03310336316478548,0
151458,2020,0,0,4339321.775285,3994.132388206027,0,0
151459,2020,1,0,4431486.46565,13363.925767167686,0,0.01688560081756129
151460,2020,3,0,4465487.790625,15630.961642706736,0,0.04298002374509256
151461,2020,5,0,4004371.775605,22099.87727140027,0,0.05649964913004834
151462,2020,0,0,4389430.70356,6694.3904660744765,0,0
151463,2020,1,0,4346534.111775001,13899.61065305393,0,0.016552144628004018
151464,2020,1,0,4402909.2834,6078.486672949626,0,0.03736498340540535
151465,2020,4,0,4342380.278914999,5605.300553883333,0,0.16433619736802235
151466,2020,6,0,4762914.037574999,11955.996377338604,0,0.10536411709148422
151467,2020,0,0,4762914.037574999,17132.776698373622,0,0
151468,2020,0,0,4762914.037574999,5763.240714742403,0,0
151469,2020,0,0,5378365.066304999,2681.613270333086,0,0
151470,2020,1,0,4684839.561199999,11259.812115032662,0,0.01895719745919574
151471,2020,0,0,5113788.015625,14921.639337779814,0,0
151472,2020,0,0,6403222.1450499995,17819.826744748014,0,0
151473,2020,4,0,5945115.20317,6904.31313165317,0,0.09744941512373122
